"ListItem-c11n-8-84-3__sc-10e22w8-0","ListItem-c11n-8-84-3__sc-10e22w8-0 2","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","Icon-c11n-8-84-3__sc-13llmml-0","Image-c11n-8-84-3__sc-1rtmhsc-0 src","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 4","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10941 Championship Dr, Fort Myers, FL 33913"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,353""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10941 Championship Dr"",""addressLocality"":""Fort Myers"",""addressRegion"":""FL"",""postalCode"":""33913""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.584694,""longitude"":-81.760544},""url"":""https://www.zillow.com/homedetails/10941-Championship-Dr-Fort-Myers-FL-33913/45373808_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 10941 Championship Dr"",""url"":""https://www.zillow.com/homedetails/10941-Championship-Dr-Fort-Myers-FL-33913/45373808_zpid/"",""image"":""https://photos.zillowstatic.com/fp/bdfe1279a37ee3de2f00ef1e903b70df-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/10941-Championship-Dr-Fort-Myers-FL-33913/45373808_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""10941 Championship Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10941 Championship Dr"",""postalCode"":""33913"",""addressLocality"":""Fort Myers"",""addressRegion"":""FL""}}],""offers"":{""price"":699000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/10941-Championship-Dr-Fort-Myers-FL-33913/45373808_zpid/"",""validFrom"":""2023-09-20""},""performer"":""EXP Realty LLC""}","https://www.zillow.com/homedetails/10941-Championship-Dr-Fort-Myers-FL-33913/45373808_zpid/","10941 Championship Dr, Fort Myers, FL 33913","EXP REALTY LLC, Lisa Gottesman","$699,000","- House for sale","6","bds","3","ba","3,353","sqft","3D Tour","Three Dimensional","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/bdfe1279a37ee3de2f00ef1e903b70df-p_e.jpg","https://photos.zillowstatic.com/fp/00171ca4a7649bbe9a180b6e70f3e0f3-p_e.jpg","https://photos.zillowstatic.com/fp/41cac4c4b681be30ff1f1182b2e5a72c-p_e.jpg","Use arrow keys to navigate","Image 1 of 43","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7501 Jefferson Ave, Century, FL 32535"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,692""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7501 Jefferson Ave"",""addressLocality"":""Century"",""addressRegion"":""FL"",""postalCode"":""32535""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.968658,""longitude"":-87.25597},""url"":""https://www.zillow.com/homedetails/7501-Jefferson-Ave-Century-FL-32535/44708440_zpid/""}","","https://www.zillow.com/homedetails/7501-Jefferson-Ave-Century-FL-32535/44708440_zpid/","7501 Jefferson Ave, Century, FL 32535","SOUTHERN REAL ESTATE","$190,000","- House for sale","3","bds","3","ba","2,692","sqft","Price cut: $19,000 (Jul 31)","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/6f3202057d4223433689a2414e05ff3f-p_e.jpg","https://photos.zillowstatic.com/fp/64b7d03a7cc38d64aae22a366c1ee851-p_e.jpg","https://photos.zillowstatic.com/fp/96985fd116210e03f03b72aee67aa06b-p_e.jpg","Use arrow keys to navigate","Image 1 of 40","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""176 Marion Oaks Pass, Ocala, FL 34473"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,754""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""176 Marion Oaks Pass"",""addressLocality"":""Ocala"",""addressRegion"":""FL"",""postalCode"":""34473""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.028816,""longitude"":-82.22202},""url"":""https://www.zillow.com/homedetails/176-Marion-Oaks-Pass-Ocala-FL-34473/251970909_zpid/""}","","https://www.zillow.com/homedetails/176-Marion-Oaks-Pass-Ocala-FL-34473/251970909_zpid/","176 Marion Oaks Pass, Ocala, FL 34473","ON TOP OF THE WORLD REAL EST","$305,000","- House for sale","3","bds","2","ba","1,754","sqft","","","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/19e4e0d89f1998befd891c77f28b7eba-p_e.jpg","https://photos.zillowstatic.com/fp/a7632541c90fb61ce49ab48846739ae4-p_e.jpg","https://photos.zillowstatic.com/fp/1d13364690d831d77b9e96964046ef19-p_e.jpg","Use arrow keys to navigate","Image 1 of 56","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5180 Brenda Dr, Orlando, FL 32812"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,487""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5180 Brenda Dr"",""addressLocality"":""Orlando"",""addressRegion"":""FL"",""postalCode"":""32812""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.51904,""longitude"":-81.32144},""url"":""https://www.zillow.com/homedetails/5180-Brenda-Dr-Orlando-FL-32812/46056888_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 5180 Brenda Dr"",""url"":""https://www.zillow.com/homedetails/5180-Brenda-Dr-Orlando-FL-32812/46056888_zpid/"",""image"":""https://photos.zillowstatic.com/fp/405353dd1f50f14b146f8c2cb69a1a35-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/5180-Brenda-Dr-Orlando-FL-32812/46056888_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""5180 Brenda Dr"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5180 Brenda Dr"",""postalCode"":""32812"",""addressLocality"":""Orlando"",""addressRegion"":""FL""}}],""offers"":{""price"":635000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/5180-Brenda-Dr-Orlando-FL-32812/46056888_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Fathom Realty Fl LLC""}","https://www.zillow.com/homedetails/5180-Brenda-Dr-Orlando-FL-32812/46056888_zpid/","5180 Brenda Dr, Orlando, FL 32812","FATHOM REALTY FL LLC","$635,000","- House for sale","4","bds","4","ba","2,487","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/405353dd1f50f14b146f8c2cb69a1a35-p_e.jpg","https://photos.zillowstatic.com/fp/f189a975d73dab3b92424ced7b0fa2e0-p_e.jpg","https://photos.zillowstatic.com/fp/5797447538ad0a48c0f2065c27afd6fc-p_e.jpg","Use arrow keys to navigate","Image 1 of 52","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""314 Anchovie Ct, Poinciana, FL 34759"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,781""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""314 Anchovie Ct"",""addressLocality"":""Poinciana"",""addressRegion"":""FL"",""postalCode"":""34759""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.082624,""longitude"":-81.50614},""url"":""https://www.zillow.com/homedetails/314-Anchovie-Ct-Poinciana-FL-34759/84663458_zpid/""}","","https://www.zillow.com/homedetails/314-Anchovie-Ct-Poinciana-FL-34759/84663458_zpid/","314 Anchovie Ct, Poinciana, FL 34759","EXP REALTY LLC","$275,000","- House for sale","4","bds","2","ba","1,781","sqft","","","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/4f6611aaecd5dcd408463df815829212-p_e.jpg","https://photos.zillowstatic.com/fp/e80b44f778b79a9ed1057faae7cc4289-p_e.jpg","https://photos.zillowstatic.com/fp/66641d9a0179f470aa34fac6b205bcae-p_e.jpg","Use arrow keys to navigate","Image 1 of 38","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""241 NW 15th St, Boca Raton, FL 33432"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,414""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""241 NW 15th St"",""addressLocality"":""Boca Raton"",""addressRegion"":""FL"",""postalCode"":""33432""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.36476,""longitude"":-80.09105},""url"":""https://www.zillow.com/homedetails/241-NW-15th-St-Boca-Raton-FL-33432/46719469_zpid/""}","","https://www.zillow.com/homedetails/241-NW-15th-St-Boca-Raton-FL-33432/46719469_zpid/","241 NW 15th St, Boca Raton, FL 33432","RE/MAX SERVICES. Listing provided by BeachesMLS","$429,900","- House for sale","3","bds","2","ba","1,414","sqft","Price cut: $19,100 (Aug 16)","","https://photos.zillowstatic.com/fp/11470fbfca6bd246a8708da0ff0e5603-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/6d90b14394ec4e58d5f1539d054a7399-p_e.jpg","https://photos.zillowstatic.com/fp/e36da69438f5e87658f6fa2020a95191-p_e.jpg","https://photos.zillowstatic.com/fp/787496ca9373386ec0341caa12825102-p_e.jpg","Use arrow keys to navigate","Image 1 of 34","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4733 1st Ave E, Palmetto, FL 34221"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,586""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4733 1st Ave E"",""addressLocality"":""Palmetto"",""addressRegion"":""FL"",""postalCode"":""34221""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":27.556858,""longitude"":-82.56397},""url"":""https://www.zillow.com/homedetails/4733-1st-Ave-E-Palmetto-FL-34221/69848269_zpid/""}","","https://www.zillow.com/homedetails/4733-1st-Ave-E-Palmetto-FL-34221/69848269_zpid/","4733 1st Ave E, Palmetto, FL 34221","NETWORK REAL ESTATE GROUP","$282,000","- House for sale","3","bds","3","ba","1,586","sqft","","Chevron Left","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Right","Next photo","","https://photos.zillowstatic.com/fp/19a29460107bc98b182e16689fcd339f-p_e.jpg","https://photos.zillowstatic.com/fp/c82ee3cb1cfa4ee2eb99e1fa001a8253-p_e.jpg","https://photos.zillowstatic.com/fp/194f88ea78c397c391edb05c4d8be18d-p_e.jpg","Use arrow keys to navigate","Image 1 of 51","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8384 Silver Birch Way, Lehigh Acres, FL 33971"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,568""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8384 Silver Birch Way"",""addressLocality"":""Lehigh Acres"",""addressRegion"":""FL"",""postalCode"":""33971""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.615479,""longitude"":-81.763435},""url"":""https://www.zillow.com/homedetails/8384-Silver-Birch-Way-Lehigh-Acres-FL-33971/71049120_zpid/""}","","https://www.zillow.com/homedetails/8384-Silver-Birch-Way-Lehigh-Acres-FL-33971/71049120_zpid/","8384 Silver Birch Way, Lehigh Acres, FL 33971","RE/MAX SUNSHINE, Char Seuffert","$420,000","- House for sale","3","bds","2","ba","1,568","sqft","Price cut: $10,000 (Aug 10)","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/78801808928ce1eb5901524400422870-p_e.jpg","https://photos.zillowstatic.com/fp/2385ac1fb406dddb576b4735a2c022d3-p_e.jpg","https://photos.zillowstatic.com/fp/b1b42c0fbe54875da995d696e4c52de0-p_e.jpg","Use arrow keys to navigate","Image 1 of 46","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2317 E 3rd St, Panama City, FL 32401"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,916""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2317 E 3rd St"",""addressLocality"":""Panama City"",""addressRegion"":""FL"",""postalCode"":""32401""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.15345,""longitude"":-85.63016},""url"":""https://www.zillow.com/homedetails/2317-E-3rd-St-Panama-City-FL-32401/42775830_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 11:00 AM - 1:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/2317-E-3rd-St-Panama-City-FL-32401/42775830_zpid/"",""startDate"":""2023-09-21T11:00:00"",""endDate"":""2023-09-21T13:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2317 E 3rd St"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":30.15345,""longitude"":-85.63016},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2317 E 3rd St"",""postalCode"":""32401"",""addressLocality"":""Panama City"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/591ef93c23afebc4a37936ae6f50442c-p_e.jpg"",""offers"":{""price"":199000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2317-E-3rd-St-Panama-City-FL-32401/42775830_zpid/"",""validFrom"":""2023-09-21T11:00:00""},""performer"":null}","https://www.zillow.com/homedetails/2317-E-3rd-St-Panama-City-FL-32401/42775830_zpid/","2317 E 3rd St, Panama City, FL 32401","","$199,000","- House for sale","4","bds","2","ba","1,916","sqft","Open: Thu. 11am-1pm","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/591ef93c23afebc4a37936ae6f50442c-p_e.jpg","https://photos.zillowstatic.com/fp/2a476f306d2af353e20acf01fb0390c7-p_e.jpg","https://photos.zillowstatic.com/fp/c70ee884ff9833faf6b141082885fd84-p_e.jpg","Use arrow keys to navigate","Image 1 of 49","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1560 Wyman Cir, Kissimmee, FL 34744"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,679""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1560 Wyman Cir"",""addressLocality"":""Kissimmee"",""addressRegion"":""FL"",""postalCode"":""34744""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.323065,""longitude"":-81.37875},""url"":""https://www.zillow.com/homedetails/1560-Wyman-Cir-Kissimmee-FL-34744/46295646_zpid/""}","","https://www.zillow.com/homedetails/1560-Wyman-Cir-Kissimmee-FL-34744/46295646_zpid/","1560 Wyman Cir, Kissimmee, FL 34744","LUNA GROUP","$379,990","- House for sale","3","bds","2","ba","1,679","sqft","","","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/91bf2458ce6d1961e380c2a9c70c8ed8-p_e.jpg","https://photos.zillowstatic.com/fp/dcf7744511becdf33901f5063ed55bf0-p_e.jpg","https://photos.zillowstatic.com/fp/5c05c9361e7fcd8fc37ad51b89ac201e-p_e.jpg","Use arrow keys to navigate","Image 1 of 59","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""95 S Lincoln Ave, Beverly Hills, FL 34465"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,208""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""95 S Lincoln Ave"",""addressLocality"":""Beverly Hills"",""addressRegion"":""FL"",""postalCode"":""34465""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.913595,""longitude"":-82.45888},""url"":""https://www.zillow.com/homedetails/95-S-Lincoln-Ave-Beverly-Hills-FL-34465/43619864_zpid/""}","","https://www.zillow.com/homedetails/95-S-Lincoln-Ave-Beverly-Hills-FL-34465/43619864_zpid/","95 S Lincoln Ave, Beverly Hills, FL 34465","SOUTHERN CROWN REALTY GROUP, INC","$220,000","- House for sale","2","bds","2","ba","1,208","sqft","2 hours ago","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/66199d8817f655f9a6fbffdb010dabc4-p_e.jpg","https://photos.zillowstatic.com/fp/0311032bab8b93cb4e8f8b321ee614fa-p_e.jpg","https://photos.zillowstatic.com/fp/e3ebab9e0dd4207842f354609a3a2ea5-p_e.jpg","Use arrow keys to navigate","Image 1 of 38","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""18002 SE Highway 42, Weirsdale, FL 32195"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,470""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""18002 SE Highway 42"",""addressLocality"":""Weirsdale"",""addressRegion"":""FL"",""postalCode"":""32195""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.979685,""longitude"":-81.85439},""url"":""https://www.zillow.com/homedetails/18002-SE-Highway-42-Weirsdale-FL-32195/45913150_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 18002 SE Highway 42"",""url"":""https://www.zillow.com/homedetails/18002-SE-Highway-42-Weirsdale-FL-32195/45913150_zpid/"",""image"":""https://photos.zillowstatic.com/fp/43634c27d658330ba20051464aa10b21-p_e.jpg"",""startDate"":""2023-09-20"",""endDate"":""2023-09-20"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/18002-SE-Highway-42-Weirsdale-FL-32195/45913150_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""18002 SE Highway 42"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""18002 SE Highway 42"",""postalCode"":""32195"",""addressLocality"":""Weirsdale"",""addressRegion"":""FL""}}],""offers"":{""price"":429900,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/18002-SE-Highway-42-Weirsdale-FL-32195/45913150_zpid/"",""validFrom"":""2023-09-20""},""performer"":""Olympus Executive Realty Inc""}","https://www.zillow.com/homedetails/18002-SE-Highway-42-Weirsdale-FL-32195/45913150_zpid/","18002 SE Highway 42, Weirsdale, FL 32195","OLYMPUS EXECUTIVE REALTY INC","$429,900","- House for sale","4","bds","2","ba","2,470","sqft","3D Tour","Three Dimensional","https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/43634c27d658330ba20051464aa10b21-p_e.jpg","https://photos.zillowstatic.com/fp/f031f0a774208f01525d0b3a050ba6d3-p_e.jpg","https://photos.zillowstatic.com/fp/3155fe3fd0421a1a5ecd8897b8279942-p_e.jpg","Use arrow keys to navigate","Image 1 of 47","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""332 W Gorrie Dr, Saint George Island, FL 32328"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,853""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""332 W Gorrie Dr"",""addressLocality"":""Saint George Island"",""addressRegion"":""FL"",""postalCode"":""32328""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":29.660048,""longitude"":-84.86807},""url"":""https://www.zillow.com/homedetails/332-W-Gorrie-Dr-Saint-George-Island-FL-32328/44756654_zpid/""}","","https://www.zillow.com/homedetails/332-W-Gorrie-Dr-Saint-George-Island-FL-32328/44756654_zpid/","332 W Gorrie Dr, Saint George Island, FL 32328","JEFF GALLOWAY REAL ESTATE","$2,899,000","- House for sale","7","bds","4","ba","2,853","sqft","29 minutes ago","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/5e9fd0ead887a3bd10d7c6655efaa2cd-p_e.jpg","https://photos.zillowstatic.com/fp/7b81491608a6f317ac068d2fab86ceed-p_e.jpg","https://photos.zillowstatic.com/fp/aa5671e222c77423021b562fe51012ca-p_e.jpg","Use arrow keys to navigate","Image 1 of 61","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4490 Osceola Rd, Titusville, FL 32780"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,775""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4490 Osceola Rd"",""addressLocality"":""Titusville"",""addressRegion"":""FL"",""postalCode"":""32780""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.559837,""longitude"":-80.805756},""url"":""https://www.zillow.com/homedetails/4490-Osceola-Rd-Titusville-FL-32780/2055449193_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 0:00 - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/4490-Osceola-Rd-Titusville-FL-32780/2055449193_zpid/"",""startDate"":""2023-09-23T12:00:00"",""endDate"":""2023-09-23T16:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""4490 Osceola Rd"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":28.559837,""longitude"":-80.805756},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4490 Osceola Rd"",""postalCode"":""32780"",""addressLocality"":""Titusville"",""addressRegion"":""FL""}},""image"":""https://photos.zillowstatic.com/fp/65dc13db4e5faf7fcac1779e29181fce-p_e.jpg"",""offers"":{""price"":480000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/4490-Osceola-Rd-Titusville-FL-32780/2055449193_zpid/"",""validFrom"":""2023-09-23T12:00:00""},""performer"":null}","https://www.zillow.com/homedetails/4490-Osceola-Rd-Titusville-FL-32780/2055449193_zpid/","4490 Osceola Rd, Titusville, FL 32780","","$480,000","- House for sale","3","bds","2","ba","1,775","sqft","Open: Sat. 12-4pm","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/65dc13db4e5faf7fcac1779e29181fce-p_e.jpg","https://photos.zillowstatic.com/fp/b18e9befd60b1b7acc7e9c315ba01cde-p_e.jpg","https://photos.zillowstatic.com/fp/f6e277fe76f9b46765adbac17a872d60-p_e.jpg","Use arrow keys to navigate","Image 1 of 36","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""946 Charlemagne Blvd, Naples, FL 34112"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,318""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""946 Charlemagne Blvd"",""addressLocality"":""Naples"",""addressRegion"":""FL"",""postalCode"":""34112""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":26.119217,""longitude"":-81.73376},""url"":""https://www.zillow.com/homedetails/946-Charlemagne-Blvd-Naples-FL-34112/43792000_zpid/""}","","https://www.zillow.com/homedetails/946-Charlemagne-Blvd-Naples-FL-34112/43792000_zpid/","946 Charlemagne Blvd, Naples, FL 34112","COLDWELL BANKER PREFERRED PROP, Pam Dickinson","$398,500","- House for sale","2","bds","2","ba","1,318","sqft","Price cut: $20,500 (Aug 21)","","","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f2179e892a59938364e87c75e82672fe-p_e.jpg","https://photos.zillowstatic.com/fp/8b9d190cd8acd4b45a81bc8dc9aa069d-p_e.jpg","https://photos.zillowstatic.com/fp/694d05fcf56880a7a1f4023a19ca1efa-p_e.jpg","Use arrow keys to navigate","Image 1 of 43","Save this home"
