"ListItem-c11n-8-84-3__sc-10e22w8-0","ListItem-c11n-8-84-3__sc-10e22w8-0 2","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src","Anchor-c11n-8-84-3__sc-hn4bge-0 href 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2464 NE Trinity Ave, Mountain Home, ID 83647"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,596""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2464 NE Trinity Ave"",""addressLocality"":""Mountain Home"",""addressRegion"":""ID"",""postalCode"":""83647""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.15789,""longitude"":-115.69932},""url"":""https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 10:00 AM - 1:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/"",""startDate"":""2023-09-30T10:00:00"",""endDate"":""2023-09-30T13:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2464 NE Trinity Ave"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.15789,""longitude"":-115.69932},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2464 NE Trinity Ave"",""postalCode"":""83647"",""addressLocality"":""Mountain Home"",""addressRegion"":""ID""}},""image"":""https://photos.zillowstatic.com/fp/59147468450e7d1267f0bf48d9901711-p_e.jpg"",""offers"":{""price"":379900,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/"",""validFrom"":""2023-09-30T10:00:00""},""performer"":""Keller Williams Realty Southwest Idaho""}","https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/","2464 NE Trinity Ave, Mountain Home, ID 83647","KELLER WILLIAMS REALTY SOUTHWEST IDAHO","$379,900","- Active","3","bds","2","ba","1,596","sqft","Open: Sat. 10am-1pm","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/59147468450e7d1267f0bf48d9901711-p_e.jpg","https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/","https://photos.zillowstatic.com/fp/82cfbcb4b5fc0ffbf2bbe53ccad8ce21-p_e.jpg","https://www.zillow.com/homedetails/2464-NE-Trinity-Ave-Mountain-Home-ID-83647/110852955_zpid/","https://photos.zillowstatic.com/fp/45d19179860f5abc4830c418361b4b10-p_e.jpg","Use arrow keys to navigate","Image 1 of 47","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""925 W 2nd St, Weiser, ID 83672"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,495""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""925 W 2nd St"",""addressLocality"":""Weiser"",""addressRegion"":""ID"",""postalCode"":""83672""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":44.25103,""longitude"":-116.97135},""url"":""https://www.zillow.com/homedetails/925-W-2nd-St-Weiser-ID-83672/248972526_zpid/""}","","https://www.zillow.com/homedetails/925-W-2nd-St-Weiser-ID-83672/248972526_zpid/","925 W 2nd St, Weiser, ID 83672","KELLER WILLIAMS REALTY BOISE","$225,000","- New","3","bds","2","ba","1,495","sqft","1 day on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/cc18433c13668d1faebe4f45c72c0084-p_e.jpg","https://www.zillow.com/homedetails/925-W-2nd-St-Weiser-ID-83672/248972526_zpid/","https://photos.zillowstatic.com/fp/65ee4504773ec7e12fb5769b142dbed3-p_e.jpg","https://www.zillow.com/homedetails/925-W-2nd-St-Weiser-ID-83672/248972526_zpid/","https://photos.zillowstatic.com/fp/954ce1d9d7279e0e8e55ed9e987fcae7-p_e.jpg","Use arrow keys to navigate","Image 1 of 28","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""630 9th Ave E, Gooding, ID 83330"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,041""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""630 9th Ave E"",""addressLocality"":""Gooding"",""addressRegion"":""ID"",""postalCode"":""83330""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":42.936386,""longitude"":-114.70588},""url"":""https://www.zillow.com/homedetails/630-9th-Ave-E-Gooding-ID-83330/104644227_zpid/""}","","https://www.zillow.com/homedetails/630-9th-Ave-E-Gooding-ID-83330/104644227_zpid/","630 9th Ave E, Gooding, ID 83330","KELLER WILLIAMS SUN VALLEY SOUTHERN IDAHO","$299,900","- New","3","bds","1","ba","1,041","sqft","14 hours ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f971b428231ff017a47e4b7fdb09554e-p_e.jpg","https://www.zillow.com/homedetails/630-9th-Ave-E-Gooding-ID-83330/104644227_zpid/","https://photos.zillowstatic.com/fp/269f1665fe40e8175055491cee00f269-p_e.jpg","https://www.zillow.com/homedetails/630-9th-Ave-E-Gooding-ID-83330/104644227_zpid/","https://photos.zillowstatic.com/fp/47d99f881e5fed8f316aea6988340704-p_e.jpg","Use arrow keys to navigate","Image 1 of 39","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7871 N Hibiscus Ln, Coeur D Alene, ID 83815"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,368""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7871 N Hibiscus Ln"",""addressLocality"":""Coeur D Alene"",""addressRegion"":""ID"",""postalCode"":""83815""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.742714,""longitude"":-116.82495},""url"":""https://www.zillow.com/homedetails/7871-N-Hibiscus-Ln-Coeur-D-Alene-ID-83815/296616725_zpid/""}","","https://www.zillow.com/homedetails/7871-N-Hibiscus-Ln-Coeur-D-Alene-ID-83815/296616725_zpid/","7871 N Hibiscus Ln, Coeur D Alene, ID 83815","WINDERMERE/COEUR D'ALENE REALTY INC","$625,000","- House for sale","4","bds","3","ba","2,368","sqft","6 hours ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/0c390368ba2057f597fcd5a637dd1452-p_e.jpg","https://www.zillow.com/homedetails/7871-N-Hibiscus-Ln-Coeur-D-Alene-ID-83815/296616725_zpid/","https://photos.zillowstatic.com/fp/20c7d6d3295b863d32b2338e79ab4778-p_e.jpg","https://www.zillow.com/homedetails/7871-N-Hibiscus-Ln-Coeur-D-Alene-ID-83815/296616725_zpid/","https://photos.zillowstatic.com/fp/df6eef98fdef01c774e2874d3fb3789a-p_e.jpg","Use arrow keys to navigate","Image 1 of 28","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6 Sellman Dr, Lowman, ID 83637"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,152""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6 Sellman Dr"",""addressLocality"":""Lowman"",""addressRegion"":""ID"",""postalCode"":""83637""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":44.07283,""longitude"":-115.54843},""url"":""https://www.zillow.com/homedetails/6-Sellman-Dr-Lowman-ID-83637/337795693_zpid/""}","","https://www.zillow.com/homedetails/6-Sellman-Dr-Lowman-ID-83637/337795693_zpid/","6 Sellman Dr, Lowman, ID 83637","GARDEN VALLEY HOMES & LAND","$375,000","- Active","2","bds","2","ba","1,152","sqft","4 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f080e1309ebaeb45979ec7266cfb3aa0-p_e.jpg","https://www.zillow.com/homedetails/6-Sellman-Dr-Lowman-ID-83637/337795693_zpid/","https://photos.zillowstatic.com/fp/81e147a4a6d869a064648070cec05c59-p_e.jpg","https://www.zillow.com/homedetails/6-Sellman-Dr-Lowman-ID-83637/337795693_zpid/","https://photos.zillowstatic.com/fp/c8651806fec26f8f3471678cd96d7038-p_e.jpg","Use arrow keys to navigate","Image 1 of 25","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""213 Pleasant Way, Rupert, ID 83350"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,626""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""213 Pleasant Way"",""addressLocality"":""Rupert"",""addressRegion"":""ID"",""postalCode"":""83350""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":42.618248,""longitude"":-113.68298},""url"":""https://www.zillow.com/homedetails/213-Pleasant-Way-Rupert-ID-83350/104648848_zpid/""}","","https://www.zillow.com/homedetails/213-Pleasant-Way-Rupert-ID-83350/104648848_zpid/","213 Pleasant Way, Rupert, ID 83350","RIVER BRIDGE REALTY","$399,000","- New","3","bds","2","ba","1,626","sqft","1 day on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/3801856e839e1c168c0fe12eaad84207-p_e.jpg","https://www.zillow.com/homedetails/213-Pleasant-Way-Rupert-ID-83350/104648848_zpid/","https://photos.zillowstatic.com/fp/278bd65fc78192d515b2af62d6d28648-p_e.jpg","https://www.zillow.com/homedetails/213-Pleasant-Way-Rupert-ID-83350/104648848_zpid/","https://photos.zillowstatic.com/fp/626038775fba63c6a2ae320af1b5ce67-p_e.jpg","Use arrow keys to navigate","Image 1 of 50","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2512 W Flamingo Ave, Nampa, ID 83651"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,456""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2512 W Flamingo Ave"",""addressLocality"":""Nampa"",""addressRegion"":""ID"",""postalCode"":""83651""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.59793,""longitude"":-116.61259},""url"":""https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 2512 W Flamingo Ave"",""url"":""https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/"",""image"":""https://photos.zillowstatic.com/fp/9b027e624561e16fe3b8f93d533668f4-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2512 W Flamingo Ave"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2512 W Flamingo Ave"",""postalCode"":""83651"",""addressLocality"":""Nampa"",""addressRegion"":""ID""}}],""offers"":{""price"":375000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/"",""validFrom"":""2023-09-28""},""performer"":""ReDefined Real Estate, LLC""}","https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/","2512 W Flamingo Ave, Nampa, ID 83651","REDEFINED REAL ESTATE, LLC","$375,000","- Active","3","bds","2","ba","1,456","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/9b027e624561e16fe3b8f93d533668f4-p_e.jpg","https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/","https://photos.zillowstatic.com/fp/9ce8a9607274d9202d69901db3ccc256-p_e.jpg","https://www.zillow.com/homedetails/2512-W-Flamingo-Ave-Nampa-ID-83651/72345734_zpid/","https://photos.zillowstatic.com/fp/33c383ea851bcffe62f73373f27a204f-p_e.jpg","Use arrow keys to navigate","Image 1 of 35","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""30994 N Alice Ct, Athol, ID 83801"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,311""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""30994 N Alice Ct"",""addressLocality"":""Athol"",""addressRegion"":""ID"",""postalCode"":""83801""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.95318,""longitude"":-116.71558},""url"":""https://www.zillow.com/homedetails/30994-N-Alice-Ct-Athol-ID-83801/2055280491_zpid/""}","","https://www.zillow.com/homedetails/30994-N-Alice-Ct-Athol-ID-83801/2055280491_zpid/","30994 N Alice Ct, Athol, ID 83801","BETTER HOMES AND GARDENS HOPE REALTY","$394,000","- House for sale","3","bds","2","ba","1,311","sqft","1 day on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/c5d8893ecbcb5d1bdfa0612c353c0f16-p_e.jpg","https://www.zillow.com/homedetails/30994-N-Alice-Ct-Athol-ID-83801/2055280491_zpid/","https://photos.zillowstatic.com/fp/69f3c43e255f45acec4a87e2fff3bb29-p_e.jpg","https://www.zillow.com/homedetails/30994-N-Alice-Ct-Athol-ID-83801/2055280491_zpid/","https://photos.zillowstatic.com/fp/283f28626769385bee5f4e4c2f216d2a-p_e.jpg","Use arrow keys to navigate","Image 1 of 28","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2809 E Castleberg Loop, Nampa, ID 83686"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,121""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2809 E Castleberg Loop"",""addressLocality"":""Nampa"",""addressRegion"":""ID"",""postalCode"":""83686""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.550873,""longitude"":-116.53669},""url"":""https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""Open House - 1:00 - 4:00 PM"",""description"":""Open House"",""url"":""https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/"",""startDate"":""2023-09-30T13:00:00"",""endDate"":""2023-09-30T16:00:00"",""location"":{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""2809 E Castleberg Loop"",""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.550873,""longitude"":-116.53669},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2809 E Castleberg Loop"",""postalCode"":""83686"",""addressLocality"":""Nampa"",""addressRegion"":""ID""}},""image"":""https://photos.zillowstatic.com/fp/6f688eb0cebb6c31cacd692eeead7724-p_e.jpg"",""offers"":{""price"":332000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/"",""validFrom"":""2023-09-30T13:00:00""},""performer"":""Keller Williams Realty Boise""}","https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/","2809 E Castleberg Loop, Nampa, ID 83686","KELLER WILLIAMS REALTY BOISE","$332,000","- New","3","bds","2","ba","1,121","sqft","Open: Sat. 1-4pm","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/6f688eb0cebb6c31cacd692eeead7724-p_e.jpg","https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/","https://photos.zillowstatic.com/fp/80d5fa51996d789d30b3eea0a62f63aa-p_e.jpg","https://www.zillow.com/homedetails/2809-E-Castleberg-Loop-Nampa-ID-83686/72326021_zpid/","https://photos.zillowstatic.com/fp/0eab15a5f221f5b0b57fe3d046c128f8-p_e.jpg","Use arrow keys to navigate","Image 1 of 28","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""732 Preston Ave, Lewiston, ID 83501"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""936""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""732 Preston Ave"",""addressLocality"":""Lewiston"",""addressRegion"":""ID"",""postalCode"":""83501""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":46.387543,""longitude"":-116.99256},""url"":""https://www.zillow.com/homedetails/732-Preston-Ave-Lewiston-ID-83501/110322044_zpid/""}","","https://www.zillow.com/homedetails/732-Preston-Ave-Lewiston-ID-83501/110322044_zpid/","732 Preston Ave, Lewiston, ID 83501","CENTURY 21 PRICE RIGHT","$309,000","- Active","2","bds","1","ba","936","sqft","5 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/fab9fd368f79780c1bc9d77310301974-p_e.jpg","https://www.zillow.com/homedetails/732-Preston-Ave-Lewiston-ID-83501/110322044_zpid/","https://photos.zillowstatic.com/fp/d92a4114feec9ce086a3583ac2a057ff-p_e.jpg","https://www.zillow.com/homedetails/732-Preston-Ave-Lewiston-ID-83501/110322044_zpid/","https://photos.zillowstatic.com/fp/9119b895950072aa3ae09f171ba590f2-p_e.jpg","Use arrow keys to navigate","Image 1 of 40","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4434 E 150 N, Rigby, ID 83442"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""5,735""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4434 E 150 N"",""addressLocality"":""Rigby"",""addressRegion"":""ID"",""postalCode"":""83442""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.647972,""longitude"":-111.81782},""url"":""https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/""}","{""@type"":""Event"",""@context"":""http://schema.org"",""name"":""3D Tour Available - 4434 E 150 N"",""url"":""https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/"",""image"":""https://photos.zillowstatic.com/fp/f8278ce9bbfd6dda56ce493f9fb9de4f-p_e.jpg"",""startDate"":""2023-09-28"",""endDate"":""2023-09-28"",""eventAttendanceMode"":""https://schema.org/OnlineEventAttendanceMode"",""eventStatus"":""https://schema.org/EventScheduled"",""location"":[{""@type"":""VirtualLocation"",""url"":""https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/""},{""@type"":""Place"",""@context"":""http://schema.org"",""name"":""4434 E 150 N"",""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4434 E 150 N"",""postalCode"":""83442"",""addressLocality"":""Rigby"",""addressRegion"":""ID""}}],""offers"":{""price"":1239000,""priceCurrency"":""$"",""availability"":""http://schema.org/InStock"",""url"":""https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/"",""validFrom"":""2023-09-28""},""performer"":""Silvercreek Realty Group""}","https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/","4434 E 150 N, Rigby, ID 83442","SILVERCREEK REALTY GROUP","$1,239,000","- House for sale","7","bds","4","ba","5,735","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/f8278ce9bbfd6dda56ce493f9fb9de4f-p_e.jpg","https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/","https://photos.zillowstatic.com/fp/f919ce8b0a1d49d56d92fb26e66e2e93-p_e.jpg","https://www.zillow.com/homedetails/4434-E-150-N-Rigby-ID-83442/115532519_zpid/","https://photos.zillowstatic.com/fp/450f8545bf6460dd1b34b20bef9bfac8-p_e.jpg","Use arrow keys to navigate","Image 1 of 74","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""0 Mud Gulch Rd, Priest River, ID 83856"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""380""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""0 Mud Gulch Rd"",""addressLocality"":""Priest River"",""addressRegion"":""ID"",""postalCode"":""83856""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":48.38186,""longitude"":-116.86937},""url"":""https://www.zillow.com/homedetails/0-Mud-Gulch-Rd-Priest-River-ID-83856/2076475743_zpid/""}","","https://www.zillow.com/homedetails/0-Mud-Gulch-Rd-Priest-River-ID-83856/2076475743_zpid/","0 Mud Gulch Rd, Priest River, ID 83856","WINDERMERE/COEUR D'ALENE REALTY INC","$249,900","- House for sale","1","bd","--","ba","380","sqft","15 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/ed8e17c7f427bf9b9945ff0f7808833e-p_e.jpg","https://www.zillow.com/homedetails/0-Mud-Gulch-Rd-Priest-River-ID-83856/2076475743_zpid/","https://photos.zillowstatic.com/fp/d81c5013a23e246d59c9138f5c204470-p_e.jpg","https://www.zillow.com/homedetails/0-Mud-Gulch-Rd-Priest-River-ID-83856/2076475743_zpid/","https://photos.zillowstatic.com/fp/5d40a073ea11989b7c2f5cb6a7851a86-p_e.jpg","Use arrow keys to navigate","Image 1 of 15","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5372 E Softwood Ct, Boise, ID 83716"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,205""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5372 E Softwood Ct"",""addressLocality"":""Boise"",""addressRegion"":""ID"",""postalCode"":""83716""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":43.56991,""longitude"":-116.11667},""url"":""https://www.zillow.com/homedetails/5372-E-Softwood-Ct-Boise-ID-83716/79630596_zpid/""}","","https://www.zillow.com/homedetails/5372-E-Softwood-Ct-Boise-ID-83716/79630596_zpid/","5372 E Softwood Ct, Boise, ID 83716","SILVERCREEK REALTY GROUP","$699,900","- Active","3","bds","3","ba","2,205","sqft","5 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/abefe4a25d5d1086c8cfc0f9f2e282b8-p_e.jpg","https://www.zillow.com/homedetails/5372-E-Softwood-Ct-Boise-ID-83716/79630596_zpid/","https://photos.zillowstatic.com/fp/e852742686e310f446cfbf3a77647581-p_e.jpg","https://www.zillow.com/homedetails/5372-E-Softwood-Ct-Boise-ID-83716/79630596_zpid/","https://photos.zillowstatic.com/fp/3bf1110ebf7ff71616c7e4121affdbdd-p_e.jpg","Use arrow keys to navigate","Image 1 of 32","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""Tbd Gold Fork Rd, Donnelly, ID 83615"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""Tbd Gold Fork Rd"",""addressLocality"":""Donnelly"",""addressRegion"":""ID"",""postalCode"":""83615""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":44.70519,""longitude"":-116.03023},""url"":""https://www.zillow.com/homedetails/Tbd-Gold-Fork-Rd-Donnelly-ID-83615/2114152455_zpid/""}","","https://www.zillow.com/homedetails/Tbd-Gold-Fork-Rd-Donnelly-ID-83615/2114152455_zpid/","Tbd Gold Fork Rd, Donnelly, ID 83615","WHITETAIL PROPERTIES RE LLC","$105,999","- Active","8.05 acres lot","","","","","","Price cut: $9,000 (Sep 25)","Previous photo","Chevron Left","Next photo","Chevron Right","https://photos.zillowstatic.com/fp/b9fb0ef13f8d75a0502d697aa118b88e-p_e.jpg","https://www.zillow.com/homedetails/Tbd-Gold-Fork-Rd-Donnelly-ID-83615/2114152455_zpid/","https://photos.zillowstatic.com/fp/3366d0ee30ecff69b05cc1ebe629b150-p_e.jpg","https://www.zillow.com/homedetails/Tbd-Gold-Fork-Rd-Donnelly-ID-83615/2114152455_zpid/","https://photos.zillowstatic.com/fp/fc2577be1c2147bcea382454ce12d7fc-p_e.jpg","Use arrow keys to navigate","Image 1 of 13","Save this home"
