"ListItem-c11n-8-84-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href","Image-c11n-8-84-3__sc-1rtmhsc-0 src","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9041 E 67th St S, Tulsa, OK 74133"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,209""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9041 E 67th St S"",""addressLocality"":""Tulsa"",""addressRegion"":""OK"",""postalCode"":""74133""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.066998,""longitude"":-95.875565},""url"":""https://www.zillow.com/homedetails/9041-E-67th-St-S-Tulsa-OK-74133/22232435_zpid/""}","https://www.zillow.com/homedetails/9041-E-67th-St-S-Tulsa-OK-74133/22232435_zpid/","9041 E 67th St S, Tulsa, OK 74133","COLDWELL BANKER SELECT, Cherie Rind","$270,000","- House for sale","4","bds","3","ba","2,209","sqft","10 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/9041-E-67th-St-S-Tulsa-OK-74133/22232435_zpid/","https://photos.zillowstatic.com/fp/232c556eeb53f90ac5e035b2e00bba42-p_e.jpg","https://photos.zillowstatic.com/fp/56aec120d5ac285d4a637fc0ff17fdfd-p_e.jpg","https://photos.zillowstatic.com/fp/91407b76d06fb295b22e80549cdbabe1-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1603 N Broadway Ave, Shawnee, OK 74804"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,209""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1603 N Broadway Ave"",""addressLocality"":""Shawnee"",""addressRegion"":""OK"",""postalCode"":""74804""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.348877,""longitude"":-96.92339},""url"":""https://www.zillow.com/homedetails/1603-N-Broadway-Ave-Shawnee-OK-74804/2069205641_zpid/""}","https://www.zillow.com/homedetails/1603-N-Broadway-Ave-Shawnee-OK-74804/2069205641_zpid/","1603 N Broadway Ave, Shawnee, OK 74804","NELMON'S REAL ESTATE LLC, Kevin Hanna","$289,000","- House for sale","4","bds","2","ba","2,209","sqft","2 hours ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1603-N-Broadway-Ave-Shawnee-OK-74804/2069205641_zpid/","https://photos.zillowstatic.com/fp/8d84fd33ccef7046574a732ace34ebd8-p_e.jpg","https://photos.zillowstatic.com/fp/a81c43042f56ca8d12bafa02433ac04c-p_e.jpg","https://photos.zillowstatic.com/fp/2c6f112927c3df1cff5c7046c2132a87-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2333 El Cajon St, Edmond, OK 73034"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,635""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2333 El Cajon St"",""addressLocality"":""Edmond"",""addressRegion"":""OK"",""postalCode"":""73034""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.678387,""longitude"":-97.40038},""url"":""https://www.zillow.com/homedetails/2333-El-Cajon-St-Edmond-OK-73034/133722082_zpid/""}","https://www.zillow.com/homedetails/2333-El-Cajon-St-Edmond-OK-73034/133722082_zpid/","2333 El Cajon St, Edmond, OK 73034","YHSGR - COUNTER CANTER, INC, Cindy Kerr","$315,000","- House for sale","3","bds","2","ba","1,635","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2333-El-Cajon-St-Edmond-OK-73034/133722082_zpid/","https://photos.zillowstatic.com/fp/b9b673f690c590a9f01fdfb65d28865b-p_e.jpg","https://photos.zillowstatic.com/fp/ec05943f14ad14e28753aeafee154ee1-p_e.jpg","https://photos.zillowstatic.com/fp/347d3d69d19aea407c6eb8b6f4861e57-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6701 Eastwood Cir, Oklahoma City, OK 73132"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,060""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6701 Eastwood Cir"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73132""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.561375,""longitude"":-97.633026},""url"":""https://www.zillow.com/homedetails/6701-Eastwood-Cir-Oklahoma-City-OK-73132/21969556_zpid/""}","https://www.zillow.com/homedetails/6701-Eastwood-Cir-Oklahoma-City-OK-73132/21969556_zpid/","6701 Eastwood Cir, Oklahoma City, OK 73132","KEN CARPENTER REALTY, Connie Klemme","$278,000","- House for sale","4","bds","2","ba","2,060","sqft","9 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/6701-Eastwood-Cir-Oklahoma-City-OK-73132/21969556_zpid/","https://photos.zillowstatic.com/fp/58e5630c5247837784d2201fcd693d1d-p_e.jpg","https://photos.zillowstatic.com/fp/5cc65f50de7e7b510145872a159d8683-p_e.jpg","https://photos.zillowstatic.com/fp/b399eae4e88e8524501c8f94ccf602c3-p_e.jpg","Use arrow keys to navigate","Image 1 of 35","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1501 W 9th St, Grove, OK 74344"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,590""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1501 W 9th St"",""addressLocality"":""Grove"",""addressRegion"":""OK"",""postalCode"":""74344""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.585964,""longitude"":-94.80831},""url"":""https://www.zillow.com/homedetails/1501-W-9th-St-Grove-OK-74344/2140092068_zpid/""}","https://www.zillow.com/homedetails/1501-W-9th-St-Grove-OK-74344/2140092068_zpid/","1501 W 9th St, Grove, OK 74344","KELLER WILLIAMS REALTY GRAND LAKE","$219,000","- House for sale","3","bds","2","ba","1,590","sqft","6 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1501-W-9th-St-Grove-OK-74344/2140092068_zpid/","https://photos.zillowstatic.com/fp/23b1ac60fc3da32dc13678984d6db419-p_e.jpg","https://photos.zillowstatic.com/fp/0d72e37941da81f6012ab296c3fb72a8-p_e.jpg","https://photos.zillowstatic.com/fp/2e3e09a3814e650c93819be95c49215f-p_e.jpg","Use arrow keys to navigate","Image 1 of 23","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""604 N Cherokee Way, Mustang, OK 73064"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,028""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""604 N Cherokee Way"",""addressLocality"":""Mustang"",""addressRegion"":""OK"",""postalCode"":""73064""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.39672,""longitude"":-97.73685},""url"":""https://www.zillow.com/homedetails/604-N-Cherokee-Way-Mustang-OK-73064/55648476_zpid/""}","https://www.zillow.com/homedetails/604-N-Cherokee-Way-Mustang-OK-73064/55648476_zpid/","604 N Cherokee Way, Mustang, OK 73064","KG REALTY LLC, Kathy Sparger","$297,000","- House for sale","3","bds","2","ba","2,028","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/604-N-Cherokee-Way-Mustang-OK-73064/55648476_zpid/","https://photos.zillowstatic.com/fp/585e2cd0575fca715923cbb32ad1f8bb-p_e.jpg","https://photos.zillowstatic.com/fp/c72339574b34de6bd494b0bb30f3f967-p_e.jpg","https://photos.zillowstatic.com/fp/28b0e6c240038c630ce81f347abc5958-p_e.jpg","Use arrow keys to navigate","Image 1 of 45","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10916 S Willow St, Jenks, OK 74037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,770""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10916 S Willow St"",""addressLocality"":""Jenks"",""addressRegion"":""OK"",""postalCode"":""74037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.003555,""longitude"":-96.002556},""url"":""https://www.zillow.com/homedetails/10916-S-Willow-St-Jenks-OK-74037/89344203_zpid/""}","https://www.zillow.com/homedetails/10916-S-Willow-St-Jenks-OK-74037/89344203_zpid/","10916 S Willow St, Jenks, OK 74037","KELLER WILLIAMS ADVANTAGE, Misty Lord","$449,900","- House for sale","3","bds","3","ba","2,770","sqft","5 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/10916-S-Willow-St-Jenks-OK-74037/89344203_zpid/","https://photos.zillowstatic.com/fp/8405c54d570d6f9f0d1e06ddb9fa47bb-p_e.jpg","https://photos.zillowstatic.com/fp/cef96cca34bb75e9bcd233bfa4c4f965-p_e.jpg","https://photos.zillowstatic.com/fp/33760d05a86df49f1de44dbd3cac97ed-p_e.jpg","Use arrow keys to navigate","Image 1 of 49","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10301 Plymouth Ct, Oklahoma City, OK 73159"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,035""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10301 Plymouth Ct"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73159""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.36572,""longitude"":-97.56821},""url"":""https://www.zillow.com/homedetails/10301-Plymouth-Ct-Oklahoma-City-OK-73159/21757624_zpid/""}","https://www.zillow.com/homedetails/10301-Plymouth-Ct-Oklahoma-City-OK-73159/21757624_zpid/","10301 Plymouth Ct, Oklahoma City, OK 73159","CHINOWTH & COHEN, Leslie Lynn","$259,900","- House for sale","4","bds","2","ba","2,035","sqft","3D Tour","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/10301-Plymouth-Ct-Oklahoma-City-OK-73159/21757624_zpid/","https://photos.zillowstatic.com/fp/3561aa0e249a56f3af7bc2ccf73f1529-p_e.jpg","https://photos.zillowstatic.com/fp/d4336a5137d156adc19f7216ecfc08f7-p_e.jpg","https://photos.zillowstatic.com/fp/e7a01be428674dc6d2383d3212920351-p_e.jpg","Use arrow keys to navigate","Image 1 of 25","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""714 W Seward Rd, Guthrie, OK 73044"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,016""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""714 W Seward Rd"",""addressLocality"":""Guthrie"",""addressRegion"":""OK"",""postalCode"":""73044""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.798954,""longitude"":-97.433334},""url"":""https://www.zillow.com/homedetails/714-W-Seward-Rd-Guthrie-OK-73044/21797788_zpid/""}","https://www.zillow.com/homedetails/714-W-Seward-Rd-Guthrie-OK-73044/21797788_zpid/","714 W Seward Rd, Guthrie, OK 73044","GATEWAY REALTY LLC, Dawna Elmore","$175,000","- House for sale","4","bds","2","ba","2,016","sqft","Price cut: $4,000 (Sep 11)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/714-W-Seward-Rd-Guthrie-OK-73044/21797788_zpid/","https://photos.zillowstatic.com/fp/4a0d176171df3d6a5544a3cc4da5c58f-p_e.jpg","https://photos.zillowstatic.com/fp/dfb243e349da862a7df2060c0462c634-p_e.jpg","https://photos.zillowstatic.com/fp/e716b0dac4874f982f627e94ed5e0ec1-p_e.jpg","Use arrow keys to navigate","Image 1 of 42","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""138 Mystery Acres Ln, Mcloud, OK 74851"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,918""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""138 Mystery Acres Ln"",""addressLocality"":""McLoud"",""addressRegion"":""OK"",""postalCode"":""74851""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.282825,""longitude"":-97.10315},""url"":""https://www.zillow.com/homedetails/138-Mystery-Acres-Ln-McLoud-OK-74851/22052758_zpid/""}","https://www.zillow.com/homedetails/138-Mystery-Acres-Ln-McLoud-OK-74851/22052758_zpid/","138 Mystery Acres Ln, McLoud, OK 74851","PIONEER REALTY, Clinton D. Lawson","$399,900","- House for sale","4","bds","3","ba","2,918","sqft","Price cut: $9,600 (Sep 15)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/138-Mystery-Acres-Ln-McLoud-OK-74851/22052758_zpid/","https://photos.zillowstatic.com/fp/ec9c0a764dce83f498ce262fe9c5272b-p_e.jpg","https://photos.zillowstatic.com/fp/1b17c15cc78baf57040e6a2e7c668d34-p_e.jpg","https://photos.zillowstatic.com/fp/7a11c64496f62fad038018e117c0c6ed-p_e.jpg","Use arrow keys to navigate","Image 1 of 48","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""28591 Us Highway 59 S, Poteau, OK 74953"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,788""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""28591 Us Highway 59 S"",""addressLocality"":""Poteau"",""addressRegion"":""OK"",""postalCode"":""74953""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.108265,""longitude"":-94.64264},""url"":""https://www.zillow.com/homedetails/28591-Us-Highway-59-S-Poteau-OK-74953/2091305040_zpid/""}","https://www.zillow.com/homedetails/28591-Us-Highway-59-S-Poteau-OK-74953/2091305040_zpid/","28591 Us Highway 59 S, Poteau, OK 74953","CARDENAS & ASSOCIATES REALTY LLC, Ashley Cardenas","$194,000","- House for sale","3","bds","2","ba","1,788","sqft","19 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/28591-Us-Highway-59-S-Poteau-OK-74953/2091305040_zpid/","https://photos.zillowstatic.com/fp/74fdb0f6b55536dfd3782c6bf229d9f9-p_e.jpg","https://photos.zillowstatic.com/fp/943136baa5f729c04012d55d2b61255c-p_e.jpg","https://photos.zillowstatic.com/fp/6767d2e0dbfad174bde403531c6e7f6a-p_e.jpg","Use arrow keys to navigate","Image 1 of 23","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2717 NW 22nd St, Oklahoma City, OK 73107"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,073""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2717 NW 22nd St"",""addressLocality"":""Oklahoma City"",""addressRegion"":""OK"",""postalCode"":""73107""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.492435,""longitude"":-97.56035},""url"":""https://www.zillow.com/homedetails/2717-NW-22nd-St-Oklahoma-City-OK-73107/21860071_zpid/""}","https://www.zillow.com/homedetails/2717-NW-22nd-St-Oklahoma-City-OK-73107/21860071_zpid/","2717 NW 22nd St, Oklahoma City, OK 73107","CHAMBERLAIN REALTY LLC, Claire Van Horn","$309,000","- House for sale","3","bds","2","ba","2,073","sqft","2 hours ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2717-NW-22nd-St-Oklahoma-City-OK-73107/21860071_zpid/","https://photos.zillowstatic.com/fp/036b1af7f166e1789de03b711d9857ba-p_e.jpg","https://photos.zillowstatic.com/fp/a5aa367fd4e304ec8b9c106f9e72ec35-p_e.jpg","https://photos.zillowstatic.com/fp/2731dff729c872c1cc1f2fa8201a702a-p_e.jpg","Use arrow keys to navigate","Image 1 of 30","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8618 S 92nd Ave E, Tulsa, OK 74133"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,350""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8618 S 92nd Ave E"",""addressLocality"":""Tulsa"",""addressRegion"":""OK"",""postalCode"":""74133""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.038113,""longitude"":-95.87478},""url"":""https://www.zillow.com/homedetails/8618-S-92nd-Ave-E-Tulsa-OK-74133/22238330_zpid/""}","https://www.zillow.com/homedetails/8618-S-92nd-Ave-E-Tulsa-OK-74133/22238330_zpid/","8618 S 92nd Ave E, Tulsa, OK 74133","KELLER WILLIAMS PREFERRED, Jenna Mobley","$294,500","- House for sale","4","bds","3","ba","2,350","sqft","Price cut: $5,400 (Aug 31)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/8618-S-92nd-Ave-E-Tulsa-OK-74133/22238330_zpid/","https://photos.zillowstatic.com/fp/667833cff174f2f201422bd67c4f589f-p_e.jpg","https://photos.zillowstatic.com/fp/cd35a4183e63b2fcad045d24c5fbe70a-p_e.jpg","https://photos.zillowstatic.com/fp/93f6537bdbae6e36fbb9d6c05aee5ac3-p_e.jpg","Use arrow keys to navigate","Image 1 of 38","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""449 SW C St, Antlers, OK 74523"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,125""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""449 SW C St"",""addressLocality"":""Antlers"",""addressRegion"":""OK"",""postalCode"":""74523""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.463127,""longitude"":-95.7067},""url"":""https://www.zillow.com/homedetails/449-SW-C-St-Antlers-OK-74523/2057194289_zpid/""}","https://www.zillow.com/homedetails/449-SW-C-St-Antlers-OK-74523/2057194289_zpid/","449 SW C St, Antlers, OK 74523","EXP REALTY, LLC, Brian Allen","$189,000","- House for sale","2","bds","1","ba","1,125","sqft","Price cut: $10,000 (Aug 23)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/449-SW-C-St-Antlers-OK-74523/2057194289_zpid/","https://photos.zillowstatic.com/fp/968997c06882a8998be81e120e0436bd-p_e.jpg","https://photos.zillowstatic.com/fp/a6eb957c45cc60d33dff173596a7a51f-p_e.jpg","https://photos.zillowstatic.com/fp/ba0a74e0a4efb564bda770aceb8c725f-p_e.jpg","Use arrow keys to navigate","Image 1 of 34","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""15220 W 18th St S, Sand Springs, OK 74063"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,152""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""15220 W 18th St S"",""addressLocality"":""Sand Springs"",""addressRegion"":""OK"",""postalCode"":""74063""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.1376,""longitude"":-96.163574},""url"":""https://www.zillow.com/homedetails/15220-W-18th-St-S-Sand-Springs-OK-74063/2071638204_zpid/""}","https://www.zillow.com/homedetails/15220-W-18th-St-S-Sand-Springs-OK-74063/2071638204_zpid/","15220 W 18th St S, Sand Springs, OK 74063","KELLER WILLIAMS ADVANTAGE, Jami Stinson","$307,500","- House for sale","3","bds","2","ba","2,152","sqft","5 days on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/15220-W-18th-St-S-Sand-Springs-OK-74063/2071638204_zpid/","https://photos.zillowstatic.com/fp/4684fb54da03d183d0342368958f29b2-p_e.jpg","https://photos.zillowstatic.com/fp/c8a8624ef9eee57ff8bee15a262658de-p_e.jpg","https://photos.zillowstatic.com/fp/a817a760db50b5a2e91becedc2c82b7f-p_e.jpg","Use arrow keys to navigate","Image 1 of 26","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""401051 W 2480th Dr, Bartlesville, OK 74006"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,407""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""401051 W 2480th Dr"",""addressLocality"":""Bartlesville"",""addressRegion"":""OK"",""postalCode"":""74006""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":36.656887,""longitude"":-95.86273},""url"":""https://www.zillow.com/homedetails/401051-W-2480th-Dr-Bartlesville-OK-74006/78501418_zpid/""}","https://www.zillow.com/homedetails/401051-W-2480th-Dr-Bartlesville-OK-74006/78501418_zpid/","401051 W 2480th Dr, Bartlesville, OK 74006","KELLER WILLIAMS REALTY, Debra A Taylor","$210,000","- House for sale","4","bds","2","ba","2,407","sqft","Price cut: $5,000 (Aug 21)","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/401051-W-2480th-Dr-Bartlesville-OK-74006/78501418_zpid/","https://photos.zillowstatic.com/fp/75e14c4f5151402cd42e1ad0492e61cf-p_e.jpg","https://photos.zillowstatic.com/fp/ae22d9701ccb5ccd0019ad8c23740cc9-p_e.jpg","https://photos.zillowstatic.com/fp/6c5c5e395f35e8d5f5239b72e277d9e9-p_e.jpg","Use arrow keys to navigate","Image 1 of 30","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""715 S Del St, Stilwell, OK 74960"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,632""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""715 S Del St"",""addressLocality"":""Stilwell"",""addressRegion"":""OK"",""postalCode"":""74960""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.807735,""longitude"":-94.63961},""url"":""https://www.zillow.com/homedetails/715-S-Del-St-Stilwell-OK-74960/84234147_zpid/""}","https://www.zillow.com/homedetails/715-S-Del-St-Stilwell-OK-74960/84234147_zpid/","715 S Del St, Stilwell, OK 74960","RE/MAX & ASSOCIATES, Donna Elliott","$50,000","- House for sale","4","bds","2","ba","1,632","sqft","30 minutes ago","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/715-S-Del-St-Stilwell-OK-74960/84234147_zpid/","https://photos.zillowstatic.com/fp/bcd6e605e399d0179e215abedcb9e8af-p_e.jpg","https://photos.zillowstatic.com/fp/7493b5fbab3c89257267b49ead5ea14d-p_e.jpg","https://photos.zillowstatic.com/fp/e4af154591c5f0f335791520d2758769-p_e.jpg","Use arrow keys to navigate","Image 1 of 4","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1110 Valley Acre Ln, Tahlequah, OK 74464"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,421""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1110 Valley Acre Ln"",""addressLocality"":""Tahlequah"",""addressRegion"":""OK"",""postalCode"":""74464""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":35.90185,""longitude"":-95.00431},""url"":""https://www.zillow.com/homedetails/1110-Valley-Acre-Ln-Tahlequah-OK-74464/93244414_zpid/""}","https://www.zillow.com/homedetails/1110-Valley-Acre-Ln-Tahlequah-OK-74464/93244414_zpid/","1110 Valley Acre Ln, Tahlequah, OK 74464","KELLER WILLIAMS ADVANTAGE, Susan Olivarez","$160,000","- House for sale","3","bds","2","ba","1,421","sqft","1 day on Zillow","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1110-Valley-Acre-Ln-Tahlequah-OK-74464/93244414_zpid/","https://photos.zillowstatic.com/fp/2f3f2a0e4b62efa031202dc6b04f0401-p_e.jpg","https://photos.zillowstatic.com/fp/e6d49501f03a3af77c806e57486f5f71-p_e.jpg","https://photos.zillowstatic.com/fp/bd5ec212a3ed527e652ebfa430c72352-p_e.jpg","Use arrow keys to navigate","Image 1 of 16","Save this home"
