"ListItem-c11n-8-84-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 2","PropertyCardWrapper__StyledPriceLine-srp__sc-16e8gqd-1","StyledPropertyCardDataArea-c11n-8-84-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-84-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0","Image-c11n-8-84-3__sc-1rtmhsc-0 src","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0","Icon-c11n-8-84-3__sc-13llmml-0","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 2","Icon-c11n-8-84-3__sc-13llmml-0 2","Anchor-c11n-8-84-3__sc-hn4bge-0 href","Image-c11n-8-84-3__sc-1rtmhsc-0 src 2","Image-c11n-8-84-3__sc-1rtmhsc-0 src 3","Image-c11n-8-84-3__sc-1rtmhsc-0 src 4","StyledPropertyCardBadge-c11n-8-84-3__sc-6gojrl-0 2","VisuallyHidden-c11n-8-84-3__sc-t8tewe-0 3","StyledButtonIcon-c11n-8-84-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8 E La Montagne Ln, Sandy, UT 84092"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,521""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8 E La Montagne Ln"",""addressLocality"":""Sandy"",""addressRegion"":""UT"",""postalCode"":""84092""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.572372,""longitude"":-111.79683},""url"":""https://www.zillow.com/homedetails/8-E-La-Montagne-Ln-Sandy-UT-84092/12919345_zpid/""}","https://www.zillow.com/homedetails/8-E-La-Montagne-Ln-Sandy-UT-84092/12919345_zpid/","8 E La Montagne Ln, Sandy, UT 84092","REAL BROKER, LLC","$775,000","- House for sale","3","bds","4","ba","3,521","sqft","Price cut: $50,000 (Aug 28)","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/8-E-La-Montagne-Ln-Sandy-UT-84092/12919345_zpid/","https://photos.zillowstatic.com/fp/22cc1c2cbbb38062ad72c10987d98e71-p_e.jpg","https://photos.zillowstatic.com/fp/21aec841d472f3a96f7aeb0ab901d025-p_e.jpg","https://photos.zillowstatic.com/fp/9f34edb98f28577b82758cf4b85dbb13-p_e.jpg","Use arrow keys to navigate","Image 1 of 39","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1371 Juniper Dr, Logan, UT 84321"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,112""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1371 Juniper Dr"",""addressLocality"":""Logan"",""addressRegion"":""UT"",""postalCode"":""84321""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.74702,""longitude"":-111.80016},""url"":""https://www.zillow.com/homedetails/1371-Juniper-Dr-Logan-UT-84321/126191005_zpid/""}","https://www.zillow.com/homedetails/1371-Juniper-Dr-Logan-UT-84321/126191005_zpid/","1371 Juniper Dr, Logan, UT 84321","BLAKEMORE REAL ESTATE LLC","$439,900","- House for sale","4","bds","2","ba","2,112","sqft","Price cut: $10,000 (Sep 13)","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1371-Juniper-Dr-Logan-UT-84321/126191005_zpid/","https://photos.zillowstatic.com/fp/18c56b967835068d8a679e35bba66589-p_e.jpg","https://photos.zillowstatic.com/fp/1c7c537371695e5271bd74e34cba121e-p_e.jpg","https://photos.zillowstatic.com/fp/502a47580495690944b9ff97d15dd46b-p_e.jpg","Use arrow keys to navigate","Image 1 of 37","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2399 N Kiva Trl, Saint George, UT 84770"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""8,770""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2399 N Kiva Trl"",""addressLocality"":""Saint George"",""addressRegion"":""UT"",""postalCode"":""84770""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.14716,""longitude"":-113.64673},""url"":""https://www.zillow.com/homedetails/2399-N-Kiva-Trl-Saint-George-UT-84770/335619200_zpid/""}","https://www.zillow.com/homedetails/2399-N-Kiva-Trl-Saint-George-UT-84770/335619200_zpid/","2399 N Kiva Trl, Saint George, UT 84770","CENTURY 21 EVEREST ST GEORGE","$8,300,000","- House for sale","7","bds","8","ba","8,770","sqft","124 days on Zillow","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2399-N-Kiva-Trl-Saint-George-UT-84770/335619200_zpid/","https://photos.zillowstatic.com/fp/8f162faa115a6542dfd552953c515456-p_e.jpg","https://photos.zillowstatic.com/fp/aefd458eec35bf85ea6b87788d065825-p_e.jpg","https://photos.zillowstatic.com/fp/cfdab1be230a31e6ec6dd8843c9021ff-p_e.jpg","Use arrow keys to navigate","Image 1 of 68","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4590 E Silver Moon Dr #3007, Eagle Mountain, UT 84005"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,795""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4590 E Silver Moon Dr #3007"",""addressLocality"":""Eagle Mountain"",""addressRegion"":""UT"",""postalCode"":""84005""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.349796,""longitude"":-111.95618},""url"":""https://www.zillow.com/homedetails/4590-E-Silver-Moon-Dr-3007-Eagle-Mountain-UT-84005/2055283181_zpid/""}","https://www.zillow.com/homedetails/4590-E-Silver-Moon-Dr-3007-Eagle-Mountain-UT-84005/2055283181_zpid/","4590 E Silver Moon Dr #3007, Eagle Mountain, UT 84005","TRUE NORTH REALTY LLC","$499,867","- House for sale","3","bds","3","ba","2,795","sqft","3 hours ago","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/4590-E-Silver-Moon-Dr-3007-Eagle-Mountain-UT-84005/2055283181_zpid/","https://photos.zillowstatic.com/fp/414c731ae776844abe816fcc7632f75e-p_e.jpg","https://photos.zillowstatic.com/fp/d6284d269c14fd606e5110932e756cce-p_e.jpg","https://photos.zillowstatic.com/fp/796f512494ad860644dcb75295d5914f-p_e.jpg","Use arrow keys to navigate","Image 1 of 12","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3853 E Rockport Ridge Rd, Park City, UT 84098"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""8,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3853 E Rockport Ridge Rd"",""addressLocality"":""Park City"",""addressRegion"":""UT"",""postalCode"":""84098""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.757633,""longitude"":-111.4356},""url"":""https://www.zillow.com/homedetails/3853-E-Rockport-Ridge-Rd-Park-City-UT-84098/89087321_zpid/""}","https://www.zillow.com/homedetails/3853-E-Rockport-Ridge-Rd-Park-City-UT-84098/89087321_zpid/","3853 E Rockport Ridge Rd, Park City, UT 84098","WINDERMERE RE UTAH - PARK CITY","$24,900,000","- House for sale","4","bds","8","ba","8,000","sqft","Price cut: $4,100,000 (Sep 19)","https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/3853-E-Rockport-Ridge-Rd-Park-City-UT-84098/89087321_zpid/","https://photos.zillowstatic.com/fp/214ae007e35c5554149580f95c211470-p_e.jpg","https://photos.zillowstatic.com/fp/25b0ac2d5eedc5a4fcbf9cd5c677ef9c-p_e.jpg","https://photos.zillowstatic.com/fp/22db959de041d094575b1deb5e7838fa-p_e.jpg","Use arrow keys to navigate","Image 1 of 46","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""235 N 100 W, Hurricane, UT 84737"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,592""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""235 N 100 W"",""addressLocality"":""Hurricane"",""addressRegion"":""UT"",""postalCode"":""84737""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.180176,""longitude"":-113.29031},""url"":""https://www.zillow.com/homedetails/235-N-100-W-Hurricane-UT-84737/68875609_zpid/""}","https://www.zillow.com/homedetails/235-N-100-W-Hurricane-UT-84737/68875609_zpid/","235 N 100 W, Hurricane, UT 84737","KW ST GEORGE KELLER WILLIAMS REALTY","$419,900","- House for sale","5","bds","3","ba","2,592","sqft","6 days on Zillow","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/235-N-100-W-Hurricane-UT-84737/68875609_zpid/","https://photos.zillowstatic.com/fp/8db491699e0441d6fd3b9a4377e90a7e-p_e.jpg","https://photos.zillowstatic.com/fp/1e56c31b2fee8825faf5f316aeb258e3-p_e.jpg","https://photos.zillowstatic.com/fp/64a0b0fd4fb42e2c4cad10e47e30d39e-p_e.jpg","Use arrow keys to navigate","Image 1 of 27","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""480 W River Willow Ln, Washington, UT 84780"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,244""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""480 W River Willow Ln"",""addressLocality"":""Washington"",""addressRegion"":""UT"",""postalCode"":""84780""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.101337,""longitude"":-113.51809},""url"":""https://www.zillow.com/homedetails/480-W-River-Willow-Ln-Washington-UT-84780/97751800_zpid/""}","https://www.zillow.com/homedetails/480-W-River-Willow-Ln-Washington-UT-84780/97751800_zpid/","480 W River Willow Ln, Washington, UT 84780","RE/MAX ASSOCIATES ST GEORGE","$600,000","- House for sale","4","bds","3","ba","2,244","sqft","Price cut: $25,000 (Sep 21)","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/480-W-River-Willow-Ln-Washington-UT-84780/97751800_zpid/","https://photos.zillowstatic.com/fp/eb96879d8cc3b92c15e9c982e962b6ee-p_e.jpg","https://photos.zillowstatic.com/fp/e2cf3a65d7d2ffcd9ed6a67e87b300ce-p_e.jpg","https://photos.zillowstatic.com/fp/8741bd513737d4fb03fe125c2343619c-p_e.jpg","Use arrow keys to navigate","Image 1 of 26","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""145 S Crystal Lakes Dr Unit 74, St George, UT 84770"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,249""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""145 S Crystal Lakes Dr UNIT 74"",""addressLocality"":""St George"",""addressRegion"":""UT"",""postalCode"":""84770""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.106075,""longitude"":-113.62763},""url"":""https://www.zillow.com/homedetails/145-S-Crystal-Lakes-Dr-UNIT-74-St-George-UT-84770/68882627_zpid/""}","https://www.zillow.com/homedetails/145-S-Crystal-Lakes-Dr-UNIT-74-St-George-UT-84770/68882627_zpid/","145 S Crystal Lakes Dr UNIT 74, St George, UT 84770","REAL PROPERTY BROKERAGE LLC","$549,900","- House for sale","3","bds","2","ba","2,249","sqft","3 hours ago","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/145-S-Crystal-Lakes-Dr-UNIT-74-St-George-UT-84770/68882627_zpid/","https://photos.zillowstatic.com/fp/04cd17ff904f1dbac5e224fa345bd46d-p_e.jpg","https://photos.zillowstatic.com/fp/13999f99793b99c9ffc1020ec6428237-p_e.jpg","https://photos.zillowstatic.com/fp/c1795dcd028cc13757bac26db46a8039-p_e.jpg","Use arrow keys to navigate","Image 1 of 76","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""215 E Rockport Aspen Dr #41, Coalville, UT 84017"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,756""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""215 E Rockport Aspen Dr #41"",""addressLocality"":""Coalville"",""addressRegion"":""UT"",""postalCode"":""84017""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.7794,""longitude"":-111.3878},""url"":""https://www.zillow.com/homedetails/215-E-Rockport-Aspen-Dr-41-Coalville-UT-84017/2087719482_zpid/""}","https://www.zillow.com/homedetails/215-E-Rockport-Aspen-Dr-41-Coalville-UT-84017/2087719482_zpid/","215 E Rockport Aspen Dr #41, Coalville, UT 84017","BERKSHIRE HATHAWAY HOMESERVICES UTAH PROPERTIES (SADDLEVIEW)","$575,000","- House for sale","2","bds","3","ba","1,756","sqft","Price cut: $24,000 (Sep 18)","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/215-E-Rockport-Aspen-Dr-41-Coalville-UT-84017/2087719482_zpid/","https://photos.zillowstatic.com/fp/ac8fdc0be1972e8162c07b0f6e747daf-p_e.jpg","https://photos.zillowstatic.com/fp/5b8c75c82714441d897cc3b6f12251f7-p_e.jpg","https://photos.zillowstatic.com/fp/fd37d4718743d8e1edc4e00a0d0be9a4-p_e.jpg","Use arrow keys to navigate","Image 1 of 30","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1220 N Bluebird Ln, Alton, UT 84710"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""864""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1220 N Bluebird Ln"",""addressLocality"":""Alton"",""addressRegion"":""UT"",""postalCode"":""84710""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.47807,""longitude"":-112.61079},""url"":""https://www.zillow.com/homedetails/1220-N-Bluebird-Ln-Alton-UT-84710/247212196_zpid/""}","https://www.zillow.com/homedetails/1220-N-Bluebird-Ln-Alton-UT-84710/247212196_zpid/","1220 N Bluebird Ln, Alton, UT 84710","ERA REALTY CENTER","$340,000","- House for sale","2","bds","1","ba","864","sqft","Price cut: $10,000 (Sep 26)","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1220-N-Bluebird-Ln-Alton-UT-84710/247212196_zpid/","https://photos.zillowstatic.com/fp/798fa1529891f7e8098ae02f12536b3d-p_e.jpg","https://photos.zillowstatic.com/fp/2fa6eeda68016fb175861f71ee0f58bb-p_e.jpg","https://photos.zillowstatic.com/fp/c695d9d7b60951c4c91085e1719d0c23-p_e.jpg","Use arrow keys to navigate","Image 1 of 34","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5095 Kilby Rd, Park City, UT 84098"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,596""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5095 Kilby Rd"",""addressLocality"":""Park City"",""addressRegion"":""UT"",""postalCode"":""84098""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.750446,""longitude"":-111.596275},""url"":""https://www.zillow.com/homedetails/5095-Kilby-Rd-Park-City-UT-84098/68847630_zpid/""}","https://www.zillow.com/homedetails/5095-Kilby-Rd-Park-City-UT-84098/68847630_zpid/","5095 Kilby Rd, Park City, UT 84098","KW PARK CITY KELLER WILLIAMS","$1,790,000","- House for sale","3","bds","4","ba","3,596","sqft","Open: Wed. 12-3pm","https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/5095-Kilby-Rd-Park-City-UT-84098/68847630_zpid/","https://photos.zillowstatic.com/fp/8ac9bde0c046488bc5d74663d466e043-p_e.jpg","https://photos.zillowstatic.com/fp/05ce73257a7a70ee52221ace39df8220-p_e.jpg","https://photos.zillowstatic.com/fp/479296a56066cb99477f7f60710c1ef5-p_e.jpg","Use arrow keys to navigate","Image 1 of 52","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2750 E Creek Crossing Ln, Salt Lake City, UT 84121"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""22,547""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2750 E Creek Crossing Ln"",""addressLocality"":""Salt Lake City"",""addressRegion"":""UT"",""postalCode"":""84121""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.640434,""longitude"":-111.81444},""url"":""https://www.zillow.com/homedetails/2750-E-Creek-Crossing-Ln-Salt-Lake-City-UT-84121/2057150324_zpid/""}","https://www.zillow.com/homedetails/2750-E-Creek-Crossing-Ln-Salt-Lake-City-UT-84121/2057150324_zpid/","2750 E Creek Crossing Ln, Salt Lake City, UT 84121","BHHS UTAH PROPERTIES -SLC","$10,900,000","- House for sale","5","bds","12","ba","22,547","sqft","175 days on Zillow","https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2750-E-Creek-Crossing-Ln-Salt-Lake-City-UT-84121/2057150324_zpid/","https://photos.zillowstatic.com/fp/b4b3db10464eecc5f3b4dd5e2bbe3763-p_e.jpg","https://photos.zillowstatic.com/fp/c84c59f1c0c82c1cb1a22703de26b84b-p_e.jpg","https://photos.zillowstatic.com/fp/f5f30038816eb23f49345ea750a5fe11-p_e.jpg","Use arrow keys to navigate","Image 1 of 147","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1725 29th St, Ogden, UT 84403"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""7,040""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1725 29th St"",""addressLocality"":""Ogden"",""addressRegion"":""UT"",""postalCode"":""84403""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.211514,""longitude"":-111.93389},""url"":""https://www.zillow.com/homedetails/1725-29th-St-Ogden-UT-84403/12005994_zpid/""}","https://www.zillow.com/homedetails/1725-29th-St-Ogden-UT-84403/12005994_zpid/","1725 29th St, Ogden, UT 84403","BRICK REALTY CO, LLC","$1,995,000","- House for sale","6","bds","5","ba","7,040","sqft","3D Tour","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/1725-29th-St-Ogden-UT-84403/12005994_zpid/","https://photos.zillowstatic.com/fp/587632f6584c6adbed2c87fb412b146c-p_e.jpg","https://photos.zillowstatic.com/fp/b1e702bb3a975a1ca0f5c4698e374c39-p_e.jpg","https://photos.zillowstatic.com/fp/eb38f044a7227fcedc0f76042227c599-p_e.jpg","Use arrow keys to navigate","Image 1 of 83","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2777 E 2700 N, Layton, UT 84040"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,780""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2777 E 2700 N"",""addressLocality"":""Layton"",""addressRegion"":""UT"",""postalCode"":""84040""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.099236,""longitude"":-111.912926},""url"":""https://www.zillow.com/homedetails/2777-E-2700-N-Layton-UT-84040/12683624_zpid/""}","https://www.zillow.com/homedetails/2777-E-2700-N-Layton-UT-84040/12683624_zpid/","2777 E 2700 N, Layton, UT 84040","CENTURY 21 EVEREST","$565,000","- House for sale","4","bds","3","ba","2,780","sqft","Price cut: $15,000 (Sep 23)","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2777-E-2700-N-Layton-UT-84040/12683624_zpid/","https://photos.zillowstatic.com/fp/8e230ef454852b6d668b718d02c3df19-p_e.jpg","https://photos.zillowstatic.com/fp/4208949083c4ea5fbdbed02c8b02da10-p_e.jpg","https://photos.zillowstatic.com/fp/8b6b1ddc9ef4427295d17fce1cc74e25-p_e.jpg","Use arrow keys to navigate","Image 1 of 21","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4269 N Prospector Ln, Enoch, UT 84721"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,046""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4269 N Prospector Ln"",""addressLocality"":""Enoch"",""addressRegion"":""UT"",""postalCode"":""84721""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.754898,""longitude"":-113.045845},""url"":""https://www.zillow.com/homedetails/4269-N-Prospector-Ln-Enoch-UT-84721/331288702_zpid/""}","https://www.zillow.com/homedetails/4269-N-Prospector-Ln-Enoch-UT-84721/331288702_zpid/","4269 N Prospector Ln, Enoch, UT 84721","","$590,000","- House for sale","6","bds","3","ba","2,046","sqft","33 minutes ago","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/4269-N-Prospector-Ln-Enoch-UT-84721/331288702_zpid/","https://photos.zillowstatic.com/fp/0e482b1c416f42097c656163c81a00bb-p_e.jpg","https://photos.zillowstatic.com/fp/29387fa294820bb171b6650aee10aba1-p_e.jpg","https://photos.zillowstatic.com/fp/4b6d1a0c7d95859e0b027b7ee8a8b47f-p_e.jpg","Use arrow keys to navigate","Image 1 of 43","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""93 W 200 S, Cedar City, UT 84720"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,841""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""93 W 200 S"",""addressLocality"":""Cedar City"",""addressRegion"":""UT"",""postalCode"":""84720""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":37.673595,""longitude"":-113.063},""url"":""https://www.zillow.com/homedetails/93-W-200-S-Cedar-City-UT-84720/229643697_zpid/""}","https://www.zillow.com/homedetails/93-W-200-S-Cedar-City-UT-84720/229643697_zpid/","93 W 200 S, Cedar City, UT 84720","REAL BROKER LLC","$290,000","- House for sale","2","bds","2","ba","1,841","sqft","45 days on Zillow","","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/93-W-200-S-Cedar-City-UT-84720/229643697_zpid/","https://photos.zillowstatic.com/fp/c1fc04e080a8e6d6e3edab5efbb7b598-p_e.jpg","https://photos.zillowstatic.com/fp/7ff0f0731d400a557b6541d549ca6274-p_e.jpg","https://photos.zillowstatic.com/fp/299bcd2e947a88442825490de8c1321a-p_e.jpg","Use arrow keys to navigate","Image 1 of 6","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2552 S 1000 W, Syracuse, UT 84075"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,788""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2552 S 1000 W"",""addressLocality"":""Syracuse"",""addressRegion"":""UT"",""postalCode"":""84075""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.07682,""longitude"":-112.04609},""url"":""https://www.zillow.com/homedetails/2552-S-1000-W-Syracuse-UT-84075/12700556_zpid/""}","https://www.zillow.com/homedetails/2552-S-1000-W-Syracuse-UT-84075/12700556_zpid/","2552 S 1000 W, Syracuse, UT 84075","KW SUCCESS KELLER WILLIAMS REALTY (LAYTON)","$399,900","- House for sale","3","bds","1","ba","1,788","sqft","4 days on Zillow","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/2552-S-1000-W-Syracuse-UT-84075/12700556_zpid/","https://photos.zillowstatic.com/fp/c7bc1c6e6304e66513f65391e7164a38-p_e.jpg","https://photos.zillowstatic.com/fp/d4d06c687eb18daa39ef249574c599ff-p_e.jpg","https://photos.zillowstatic.com/fp/14e3bc8bcaa00b14b2ceda40c0b9eaa0-p_e.jpg","Use arrow keys to navigate","Image 1 of 17","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""115 E 100 N, Clearfield, UT 84015"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,494""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""115 E 100 N"",""addressLocality"":""Clearfield"",""addressRegion"":""UT"",""postalCode"":""84015""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.115917,""longitude"":-112.02381},""url"":""https://www.zillow.com/homedetails/115-E-100-N-Clearfield-UT-84015/12697611_zpid/""}","https://www.zillow.com/homedetails/115-E-100-N-Clearfield-UT-84015/12697611_zpid/","115 E 100 N, Clearfield, UT 84015","HUDSON FOXX REAL ESTATE","$397,900","- House for sale","4","bds","1","ba","2,494","sqft","4 days on Zillow","https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg","Previous photo","Chevron Left","Next photo","Chevron Right","https://www.zillow.com/homedetails/115-E-100-N-Clearfield-UT-84015/12697611_zpid/","https://photos.zillowstatic.com/fp/0496cad912ac1dc42e7733493440b3d8-p_e.jpg","https://photos.zillowstatic.com/fp/2f9871525cfc6fe07be50b4d6f24e2fe-p_e.jpg","https://photos.zillowstatic.com/fp/62f1df8024d4e54954dd633eef9e5a20-p_e.jpg","Use arrow keys to navigate","Image 1 of 18","Save this home"
